Category,Collection,Price USD,Finish,SkuID,Image URL,Model3D URL,Spec Mode,,,
Faucets,Castia by Studio McGee,279,Polished Chrome,K-35908-4K-CP,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/aag26490_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Faucets,Castia by Studio McGee,299,Vibrant Brushed Nickle,K-35908-4-BN,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/aag26454_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Faucets,Castia by Studio McGee,329,Vibrant Brushed Moderne Brass,K-35908-4-2MB,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/aag26487_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Faucets,Castia by Studio McGee,299,Matte Black,K-35908-4-BL,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/aag26467_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Faucets,Purist,249,Polished Chrome,K-14406-4-CP,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/aag09166_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Faucets,Purist,269,Vibrant Brushed Nickle,K-14406-4-BN,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/aag09136_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Faucets,Purist,319,Vibrant Brushed Moderne Brass,K-14406-4-2MB,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/aag09116_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Faucets,Purist,269,Matte Black,K-14406-4-BL,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/aag09156_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Faucets,Tone,239,Polished Chrome,K-27416-4K-CP,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/27416-4-CP_ISO_d2c0002045_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Faucets,Tone,259,Vibrant Brushed Nickle,K-27416-4-BN,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/27416-4-BN_ISO_d2c0002055_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Faucets,Tone,309,Vibrant Brushed Moderne Brass,K-27416-4-2MB,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/27416-4-2MB_ISO_d2c0002010_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Faucets,Tone,259,Matte Black,K-27416-4-BL,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/27416-4-BL_ISO_d2c0002008_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
