Category,Collection,Price USD,Finish,SkuID,Image URL,Model3D URL,Spec Mode
Faucets,Castia by Studio McGee,279.0,Polished Chrome,K-35908-4K-CP,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/aag26490_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 1 (SKU: ) by Kohler. suitable for commercial restroom environments. Key features include premium metal construction, minimalist contemporary styling, long‑lasting ceramic valve. Engineered for durability, elegant design, and reliable daily performance."
Faucets,Castia by Studio McGee,299.0,Vibrant Brushed Nickle,K-35908-4-BN,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/aag26454_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 2 (SKU: ) by Kohler. ideal for modern residential bathrooms. Key features include long‑lasting ceramic valve, easy wall or deck installation, minimalist contemporary styling. Engineered for durability, elegant design, and reliable daily performance."
Faucets,Castia by Studio McGee,329.0,Vibrant Brushed Moderne Brass,K-35908-4-2MB,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/aag26487_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 3 (SKU: ) by Kohler. designed for compact urban homes. Key features include easy wall or deck installation, modern ergonomic handle design, minimalist contemporary styling. Engineered for durability, elegant design, and reliable daily performance."
Faucets,Castia by Studio McGee,299.0,Matte Black,K-35908-4-BL,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/aag26467_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 4 (SKU: ) by Kohler. perfect for contemporary kitchen spaces. Key features include long‑lasting ceramic valve, minimalist contemporary styling, smooth water flow control. Engineered for durability, elegant design, and reliable daily performance."
Faucets,Purist,249.0,Polished Chrome,K-14406-4-CP,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/aag09166_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 5 (SKU: ) by Kohler. designed for compact urban homes. Key features include precision temperature control, modern ergonomic handle design, minimalist contemporary styling. Engineered for durability, elegant design, and reliable daily performance."
Faucets,Purist,269.0,Vibrant Brushed Nickle,K-14406-4-BN,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/aag09136_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 6 (SKU: ) by Kohler. designed for compact urban homes. Key features include low water consumption technology, minimalist contemporary styling, premium metal construction. Engineered for durability, elegant design, and reliable daily performance."
Faucets,Purist,319.0,Vibrant Brushed Moderne Brass,K-14406-4-2MB,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/aag09116_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 7 (SKU: ) by Kohler. perfect for contemporary kitchen spaces. Key features include easy wall or deck installation, precision temperature control, smooth water flow control. Engineered for durability, elegant design, and reliable daily performance."
Faucets,Purist,269.0,Matte Black,K-14406-4-BL,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/aag09156_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 8 (SKU: ) by Kohler. perfect for contemporary kitchen spaces. Key features include precision temperature control, low water consumption technology, premium metal construction. Engineered for durability, elegant design, and reliable daily performance."
Faucets,Tone,239.0,Polished Chrome,K-27416-4K-CP,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/27416-4-CP_ISO_d2c0002045_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 9 (SKU: ) by Kohler. designed for compact urban homes. Key features include smooth water flow control, premium metal construction, scratch‑resistant surface. Engineered for durability, elegant design, and reliable daily performance."
Faucets,Tone,259.0,Vibrant Brushed Nickle,K-27416-4-BN,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/27416-4-BN_ISO_d2c0002055_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 10 (SKU: ) by Kohler. perfect for contemporary kitchen spaces. Key features include corrosion‑resistant finish, precision temperature control, premium metal construction. Engineered for durability, elegant design, and reliable daily performance."
Faucets,Tone,309.0,Vibrant Brushed Moderne Brass,K-27416-4-2MB,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/27416-4-2MB_ISO_d2c0002010_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 11 (SKU: ) by Kohler. great for premium interior design projects. Key features include minimalist contemporary styling, corrosion‑resistant finish, smooth water flow control. Engineered for durability, elegant design, and reliable daily performance."
Faucets,Tone,259.0,Matte Black,K-27416-4-BL,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/27416-4-BL_ISO_d2c0002008_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 12 (SKU: ) by Kohler. designed for compact urban homes. Key features include easy wall or deck installation, long‑lasting ceramic valve, low water consumption technology. Engineered for durability, elegant design, and reliable daily performance."
Showers,Statement,179.0,Polished Chrome,K-26297-CP,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/26297-CP_ISO_d2c0017542_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 13 (SKU: ) by Kohler. designed for compact urban homes. Key features include corrosion‑resistant finish, minimalist contemporary styling, smooth water flow control. Engineered for durability, elegant design, and reliable daily performance."
Showers,Statement,199.0,Vibrant Brushed Nickle,K-26297-BN,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/26297-BN_ISO_d2c0017498_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 14 (SKU: ) by Kohler. ideal for modern residential bathrooms. Key features include smooth water flow control, modern ergonomic handle design, low water consumption technology. Engineered for durability, elegant design, and reliable daily performance."
Showers,Statement,199.0,Matte Black,K-26297-BL,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/26297-BL_ISO_d2c0017510_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 15 (SKU: ) by Kohler. ideal for modern residential bathrooms. Key features include modern ergonomic handle design, precision temperature control, low water consumption technology. Engineered for durability, elegant design, and reliable daily performance."
Showers,Purist,219.0,Polished Chrome,K-22170-G-CP,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/22170-G-CP_ISO_d2c0018062_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 16 (SKU: ) by Kohler. great for premium interior design projects. Key features include easy wall or deck installation, minimalist contemporary styling, precision temperature control. Engineered for durability, elegant design, and reliable daily performance."
Showers,Purist,239.0,Vibrant Brushed Nickle,K-22170-BN,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/22170-G-BN_ISO_d2c0018038_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 17 (SKU: ) by Kohler. great for premium interior design projects. Key features include modern ergonomic handle design, precision temperature control, low water consumption technology. Engineered for durability, elegant design, and reliable daily performance."
Showers,Purist,239.0,Matte Black,K-22170-BL,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/22170-G-BL_ISO_d2c0018023_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 18 (SKU: ) by Kohler. suitable for commercial restroom environments. Key features include minimalist contemporary styling, premium metal construction, precision temperature control. Engineered for durability, elegant design, and reliable daily performance."
Toilets,Veil,3699.0,White,K-5401-PA-0,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/5401-PA-0_ISO_d2c0020473_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 19 (SKU: ) by Kohler. designed for compact urban homes. Key features include minimalist contemporary styling, smooth water flow control, scratch‑resistant surface. Engineered for durability, elegant design, and reliable daily performance."
Toilets,Veil,3899.0,Honed Black,K-5401-PA-HB1,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/5401-PA-HB1_ISO_d2c0020480_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 20 (SKU: ) by Kohler. perfect for contemporary kitchen spaces. Key features include premium metal construction, scratch‑resistant surface, modern ergonomic handle design. Engineered for durability, elegant design, and reliable daily performance."
Toilets,Leap,349.0,White,K-28529-0,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/28529-0_ISO_d2c0020442_rgb}&$PDPDesktopSQ$&fmt=webp,,"Kohler Product 21 (SKU: ) by Kohler. suitable for luxury hotel installations. Key features include minimalist contemporary styling, modern ergonomic handle design, long‑lasting ceramic valve. Engineered for durability, elegant design, and reliable daily performance."
